0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,N,66,1,0,0,3,1,0,3,0,0,3,0,1,A,0,0,0,0,0,C,0,0,4,0,0,0,1764,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,2,0,0,2,1,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,5,0,0,C,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0
2,2,0,1,1,1,0,1,M,158,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,2,H,0,0,0,0,0,1,0,1,0,D,0,0,0,0,I,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0
0,2,0,0,1,1,0,1,0,0,2,0,3,0,0,1,0,1,6,0,0,0,1,2,1,4,0,T,0,E,1,D,0,4,5,0,2,0,0,4,0,0,3,E,0,0,6,0,0,0,0,0,0,2199,0,0,0,0,0,0,0,0
0,0,0,1,0,N,0,0,1,0,1,0,0,2,1,1,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0
0,2,0,0,7,0,3,4,0,1,1,0,3,0,E,6,0,0,B,3,2,2,0,0,1,0,0,0,2,124,0,0,0,2,3,8,0,5,1,2,U,0,1,0,0,8,0,0,0,0,0,0,0,0,0,2719,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,7,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0
0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,3,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,1,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0
0,0,0,0,x,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,6,S,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0
0,0,K,4,1,0,0,2,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406
